Party,Term,Age,Sex,Education,Questions,Debates,Bills
1001,5,63,1,3,1,0,0
1001,3,53,1,2,245,50,1
1001,3,60,1,2,19,22,0
1002,1,60,1,3,153,32,0
1003,1,51,1,-1,363,1,0
1001,2,49,1,0,362,24,0
1001,1,39,1,3,360,5,0
1001,6,56,1,2,-1,-1,-1
1001,2,48,1,2,236,87,0
1002,7,68,1,2,0,13,0
1002,1,61,1,2,324,60,0
1002,2,73,1,2,131,80,0
1001,5,47,1,1,156,0,0
1003,6,82,1,1.5,0,13,0
1002,2,50,1,1,327,55,0
1002,2,54,1,3,387,74,1
1001,3,63,1,2,-1,-1,-1
1002,1,49,1,2,379,7,0
1001,2,52,1,1,187,14,0
1001,1,48,1,2,185,8,0
1001,1,44,1,2,311,14,0
1001,1,66,1,1,95,29,0
1001,3,63,1,0,-1,-1,-1
1001,1,49,2,3,397,85,0
1002,2,76,1,2,4,11,0
1001,3,64,1,2,64,5,0
1002,1,69,1,1,0,5,0
1001,1,73,1,2,105,12,0